zip,avg_payback_period,avg_needed_incentives,prop_adopt_1_years_-5500_incentive,prop_adopt_2_years_-5500_incentive,prop_adopt_3_years_-5500_incentive,prop_adopt_4_years_-5500_incentive,prop_adopt_5_years_-5500_incentive
36260,14.966922898147757,10836.806030940894,0.0,0.0,0.0,0.0,0.0
36265,14.927409179820703,10710.395350841294,0.0,0.0,0.0,0.0,0.0
36268,15.001266014305763,10957.616958636678,0.0,0.0,0.0,0.0,0.0
36277,15.012397477883601,11002.823705426608,0.0,0.0,0.0,0.0,0.0
36301,14.40519356725486,10631.877134882698,0.0,0.0,0.0,0.0,0.0
36303,14.386652997160311,10531.761131284116,0.0,0.0,0.0,0.0,0.0
36305,14.431084022800762,10606.330082962602,0.0,0.0,0.0,0.0,0.0
36312,14.485298165513683,10695.217346561289,0.0,0.0,0.0,0.0,0.0
36321,14.432839947027087,10674.103619250824,0.0,0.0,0.0,0.0,0.0
36322,14.529636768516438,10731.955539100987,0.0,0.0,0.0,0.0,0.0
36330,14.5342025177355,10750.021149820199,0.0,0.0,0.0,0.0,0.0
36345,14.506600091378656,10688.622691452027,0.0,0.0,0.0,0.0,0.0
36350,14.531037186695583,10753.737826653549,0.0,0.0,0.0,0.0,0.0
36351,14.44711916325913,10645.078463316127,0.0,0.0,0.0,0.0,0.0
36360,14.41759618338267,10488.362267394561,0.0,0.0,0.0,0.0,0.0
36362,14.512181499066344,10627.428089918438,0.0,0.0,0.0,0.0,0.0
36376,14.348092270173824,10423.379487168553,0.0,0.0,0.0,0.0,0.0
36509,14.380580110111579,10387.555735513226,0.0,0.0,0.0,0.0,0.0
36511,15.359673256033796,10897.838597172376,0.0,0.0,0.0,0.0,0.0
36523,14.472518684993338,10625.217089700927,0.0,0.0,0.0,0.0,0.0
36526,15.362210677101743,11078.790104923923,0.0,0.0,0.0,0.0,0.0
36527,14.132474226666357,10446.209870480201,0.0,0.0,0.0,0.0,0.0
36530,15.342292504694528,11067.664944555243,0.0,0.0,0.0,0.0,0.0
36532,14.10408060200154,10334.656561639806,0.0,0.0,0.0,0.0,0.0
36535,13.995297288276003,10339.123130426695,0.0,0.0,0.0,0.0,0.0
36541,14.54630461757092,10817.42684266318,0.0,0.0,0.0,0.0,0.0
36542,15.317057489832358,11067.46979326436,0.0,0.0,0.0,0.0,0.0
36544,14.441986067910392,10509.76115450629,0.0,0.0,0.0,0.0,0.0
36551,14.131646478818428,10608.78734537763,0.0,0.0,0.0,0.0,0.0
36555,15.2976369521498,10870.226792270487,0.0,0.0,0.0,0.0,0.0
36561,15.32308403581884,10962.488733006916,0.0,0.0,0.0,0.0,0.0
36567,15.336058463824363,11092.230768062353,0.0,0.0,0.0,0.0,0.0
36571,14.487053945022254,10616.507852458035,0.0,0.0,0.0,0.0,0.0
36572,14.57348126257312,10741.584774175792,0.0,0.0,0.0,0.0,0.0
36575,14.551566231178086,10784.085036075781,0.0,0.0,0.0,0.0,0.0
36576,15.271162683435406,11015.972690081202,0.002,0.002,0.002,0.002,0.002
36580,15.282453188576984,10978.756340554795,0.0,0.0,0.0,0.0,0.0
36582,14.478774886918846,10646.45953532644,0.0,0.0,0.0,0.0,0.0
36587,14.525261520289419,10737.800154430419,0.0,0.0,0.0,0.0,0.0
36602,14.471595607444172,10540.595297490103,0.0,0.0,0.0,0.0,0.0
