panels_1_years_-2000_incentive,panels_2_years_-2000_incentive,panels_3_years_-2000_incentive,panels_4_years_-2000_incentive,panels_5_years_-2000_incentive,zip
0,0,132,489,8142,1420
0,0,0,0,0,14201
0,0,0,0,0,14202
0,0,0,0,0,14203
0,0,0,0,0,14204
0,0,0,0,0,14206
0,0,0,0,0,14207
0,0,0,0,0,14208
0,0,0,0,0,14209
0,0,0,0,0,14210
0,0,0,0,0,14211
0,0,0,0,0,14212
0,0,0,0,0,14213
0,0,0,0,0,14214
0,0,0,0,0,14215
0,0,0,0,0,14216
0,0,0,0,0,14217
0,0,0,0,0,14218
0,0,0,0,0,14219
0,0,0,0,0,14220
0,0,0,0,0,14221
0,0,0,0,0,14222
0,0,0,0,0,14223
0,0,0,0,0,14224
0,0,0,0,0,14225
0,0,0,0,0,14226
0,0,0,0,0,14227
0,0,0,0,0,14228
0,0,0,0,0,14301
0,0,0,0,0,14303
0,0,0,0,0,14304
0,0,0,0,0,14305
0,0,0,0,0,14428
0,0,0,0,0,14445
0,0,0,0,0,14450
0,0,0,0,0,14467
0,0,0,0,0,14468
0,0,0,0,0,14472
0,0,12,59,231,1450
0,0,0,0,0,14506
0,0,0,0,0,14514
0,0,0,0,0,14526
0,8,98,748,8628,1453
0,0,0,0,0,14534
0,0,0,0,0,14543
0,0,0,0,0,14546
0,0,0,0,0,14559
0,0,0,0,0,14564
0,0,0,0,0,14580
0,0,0,0,0,14586
0,0,0,0,0,14604
0,0,0,0,0,14605
0,0,0,0,0,14606
0,0,0,0,0,14607
0,0,0,0,0,14608
0,0,0,0,0,14609
0,0,0,0,0,14610
0,0,0,0,0,14611
0,0,0,0,0,14612
0,0,0,0,0,14613
0,0,0,0,0,14614
0,0,0,0,0,14615
0,0,0,0,0,14616
0,0,0,0,0,14617
0,0,0,0,0,14618
0,0,0,0,0,14619
0,0,36,119,1095,1462
0,0,0,0,0,14620
0,0,0,0,0,14621
0,0,0,0,0,14622
0,0,0,0,0,14623
0,0,0,0,0,14624
0,0,0,0,0,14625
0,0,0,0,0,14626
0,0,0,2,15,1463
0,0,0,0,7,1473
0,0,0,0,0,14850
0,0,0,0,0,14882
0,0,0,0,0,14883
0,0,0,50,150,15001
0,0,0,0,9,15003
0,0,0,2,4,15005
0,0,0,4,34,15009
0,0,81,283,4640,1501
0,0,0,0,61,15010
0,0,0,0,0,15014
0,0,0,32,65,15017
0,0,0,5,10,15024
0,0,0,0,0,15025
0,0,0,1,7,15027
0,0,0,0,0,15030
0,0,0,2,6,15034
0,0,0,2,4,15035
0,0,21,220,2297,1504
0,3,6,6,13,15042
0,0,0,0,0,15044
0,0,0,1,2,15045
0,0,0,0,7,15046
0,0,0,0,0,15049
0,0,3,113,707,1505
0,0,0,0,0,15051
0,0,0,0,1,15056
0,0,0,13,27,15057
0,0,5,32,48,15061
0,0,0,0,0,15064
0,0,0,0,0,15065
0,0,0,45,68,15066
0,0,0,0,133,15068
0,0,15,114,1347,1507
0,0,4,17,25,15071
0,0,0,0,0,15074
0,0,0,0,3,15076
0,0,0,0,0,15081
0,0,0,0,0,15082
0,0,0,3,7,15084
0,0,0,0,0,15085
0,0,0,7,18,15101
0,0,4,12,24,15102
0,0,0,21,60,15104
0,0,14,36,87,15106
0,0,0,0,0,15108
0,0,0,0,20,15110
0,0,0,0,0,15112
0,0,0,0,0,15116
0,0,0,20,95,15120
0,0,0,39,118,15122
0,0,0,0,2,15126
0,0,0,0,23,15131
0,0,0,28,192,15132
0,0,0,0,8,15133
0,0,0,0,8,15136
0,0,0,15,51,15137
0,0,0,5,13,15139
0,0,0,0,6,15140
0,0,0,1,3,15142
0,0,0,0,0,15143
0,0,0,0,6,15144
0,0,0,10,32,15145
0,0,0,0,0,15146
0,0,12,67,117,15147
0,0,0,4,24,15148
0,0,3,16,284,1515
0,1,2,67,516,1516
0,0,0,73,391,1519
0,0,13,411,3056,1520
0,0,0,0,37,15201
0,0,9,41,55,15202
0,0,0,0,0,15203
0,0,0,24,41,15204
0,0,0,25,64,15205
0,0,33,94,162,15206
0,0,0,43,91,15207
0,0,0,0,5,15208
0,0,0,9,18,15209
0,0,0,0,127,15210
0,0,0,3,34,15211
0,0,0,0,103,15212
0,0,0,0,96,15213
0,0,0,0,0,15214
0,0,0,0,0,15215
0,0,0,0,0,15216
0,0,0,0,6,15217
0,0,0,0,44,15218
0,0,0,20,90,15219
0,0,1,20,256,1522
0,0,0,0,0,15220
0,0,0,0,24,15221
0,0,0,0,3,15222
0,0,0,20,42,15223
0,0,0,0,0,15224
0,0,3,5,8,15225
0,0,0,5,15,15226
0,0,0,0,59,15227
0,0,8,21,38,15228
0,0,0,0,0,15229
0,0,0,4,21,15232
0,0,9,20,27,15233
0,0,0,5,31,15234
0,0,0,72,156,15235
0,0,0,0,38,15236
0,0,0,10,42,15237
0,0,20,28,36,15238
0,0,0,24,65,15239
0,0,0,101,1763,1524
0,0,20,37,49,15241
0,0,0,0,12,15243
0,0,18,284,3543,1527
0,0,5,37,365,1529
0,0,0,0,0,15317
0,0,0,0,0,15321
0,0,0,6,58,1534
0,0,0,1,40,1535
0,0,16,106,892,1536
0,0,0,0,0,15361
0,0,3,12,638,1537
0,0,27,194,3005,1540
0,0,1,14,71,1541
0,0,2,28,563,1542
0,0,5,45,288,1543
0,0,121,855,5583,1545
0,0,0,0,0,15545
0,0,2,16,154,1560
0,0,0,0,0,15613
0,0,0,0,0,15615
0,9,62,207,3012,1562
0,0,0,0,0,15629
0,0,0,0,0,15632
0,0,0,0,0,15636
0,0,38,302,2001,1564
0,0,0,0,0,15641
0,0,0,0,0,15642
0,0,0,0,0,15644
0,0,0,0,0,15656
0,0,0,1,10,1566
0,0,0,0,0,15665
0,0,0,0,0,15668
0,0,0,0,0,15673
0,0,0,28,170,1568
0,0,10,193,1728,1569
0,0,0,0,0,15690
0,0,0,0,0,15692
0,0,15,224,3804,1570
0,0,23,118,1905,1571
0,0,0,0,0,15801
0,0,5,23,128,1581
0,0,2,174,1987,1583
0,0,0,0,0,15840
0,0,0,0,2,15851
0,0,4,66,576,1588
0,0,5,312,1795,1590
0,0,0,0,1,15901
0,0,0,0,0,15902
0,0,0,0,4,15904
0,0,0,0,0,15905
0,0,0,0,0,15906
0,0,0,0,0,15909
0,0,0,0,0,15928
0,0,0,0,0,15935
0,0,0,0,0,15942
0,0,0,0,0,15946
0,0,0,0,0,15963
0,0,0,0,0,16001
0,0,0,0,0,16002
0,0,81,414,4293,1602
0,0,60,233,3447,1603
0,0,71,398,6987,1604
0,0,0,0,0,16045
0,0,118,288,3819,1605
0,0,0,0,0,16053
0,0,92,342,5236,1606
0,0,29,78,1524,1607
0,0,12,29,262,1608
0,0,83,303,2809,1609
0,0,109,231,2626,1610
0,1,6,34,531,1611
0,0,7,149,1358,1612
0,0,0,0,0,16121
0,0,0,0,0,16143
