zip,year,incentive,panels
14208,1,-2000,0
14209,1,-2000,0
14210,1,-2000,0
14211,1,-2000,0
14212,1,-2000,0
14213,1,-2000,0
14214,1,-2000,0
14215,1,-2000,0
14216,1,-2000,0
14217,1,-2000,0
14218,1,-2000,0
14219,1,-2000,0
14220,1,-2000,0
14221,1,-2000,0
14222,1,-2000,0
14223,1,-2000,0
14224,1,-2000,0
14225,1,-2000,0
14226,1,-2000,0
14227,1,-2000,0
14228,1,-2000,0
14301,1,-2000,0
14303,1,-2000,0
14304,1,-2000,0
14305,1,-2000,0
14428,1,-2000,0
14445,1,-2000,0
14450,1,-2000,0
14467,1,-2000,0
14468,1,-2000,0
14472,1,-2000,0
1450,1,-2000,0
14506,1,-2000,0
14514,1,-2000,0
14526,1,-2000,0
1453,1,-2000,0
14534,1,-2000,0
14543,1,-2000,0
14546,1,-2000,0
14559,1,-2000,0
14564,1,-2000,0
14580,1,-2000,0
14586,1,-2000,0
14604,1,-2000,0
14605,1,-2000,0
14606,1,-2000,0
14607,1,-2000,0
14608,1,-2000,0
14609,1,-2000,0
14610,1,-2000,0
14611,1,-2000,0
14612,1,-2000,0
14613,1,-2000,0
14614,1,-2000,0
14615,1,-2000,0
14616,1,-2000,0
14617,1,-2000,0
14618,1,-2000,0
14619,1,-2000,0
1462,1,-2000,0
14620,1,-2000,0
14621,1,-2000,0
14622,1,-2000,0
14623,1,-2000,0
14624,1,-2000,0
14625,1,-2000,0
14626,1,-2000,0
1463,1,-2000,0
1473,1,-2000,0
14850,1,-2000,0
14882,1,-2000,0
14883,1,-2000,0
15001,1,-2000,0
15003,1,-2000,0
15005,1,-2000,0
15009,1,-2000,0
1501,1,-2000,0
15010,1,-2000,0
15014,1,-2000,0
15017,1,-2000,0
15024,1,-2000,0
15025,1,-2000,0
15027,1,-2000,0
15030,1,-2000,0
15034,1,-2000,0
15035,1,-2000,0
1504,1,-2000,0
15042,1,-2000,0
15044,1,-2000,0
15045,1,-2000,0
15046,1,-2000,0
15049,1,-2000,0
1505,1,-2000,0
15051,1,-2000,0
15056,1,-2000,0
15057,1,-2000,0
15061,1,-2000,0
15064,1,-2000,0
15065,1,-2000,0
15066,1,-2000,0
15068,1,-2000,0
1507,1,-2000,0
15071,1,-2000,0
15074,1,-2000,0
15076,1,-2000,0
15081,1,-2000,0
15082,1,-2000,0
15084,1,-2000,0
15085,1,-2000,0
15101,1,-2000,0
15102,1,-2000,0
15104,1,-2000,0
15106,1,-2000,0
15108,1,-2000,0
15110,1,-2000,0
15112,1,-2000,0
15116,1,-2000,0
15120,1,-2000,0
15122,1,-2000,0
15126,1,-2000,0
15131,1,-2000,0
15132,1,-2000,0
15133,1,-2000,0
15136,1,-2000,0
15137,1,-2000,0
15139,1,-2000,0
15140,1,-2000,0
15142,1,-2000,0
15143,1,-2000,0
15144,1,-2000,0
15145,1,-2000,0
15146,1,-2000,0
15147,1,-2000,0
15148,1,-2000,0
1515,1,-2000,0
1516,1,-2000,0
1519,1,-2000,0
1520,1,-2000,0
15201,1,-2000,0
15202,1,-2000,0
15203,1,-2000,0
15204,1,-2000,0
15205,1,-2000,0
15206,1,-2000,0
15207,1,-2000,0
15208,1,-2000,0
15209,1,-2000,0
15210,1,-2000,0
15211,1,-2000,0
15212,1,-2000,0
15213,1,-2000,0
15214,1,-2000,0
